id,type,x,y,width,height,text
1,p,1106,28,180,17,"1,209,002 kWh served"
2,section,7,199,1351,817,"LA’s largest battery rental house
Batteries for every situation.
Yeah, that one too.
;"
3,p,81,1119,101,23,CXPIOTe
4,p,243,1119,121,18,Dattenes
5,h2,1141,1409,144,59,Humbi@>
6,p,53,1411,56,58,"(a
wy"
7,p,734,1425,106,24,Humble
8,p,123,1459,106,24,Humble
9,p,1139,1504,108,31,"1kWh Capacity
GOOOW Output"
10,p,121,1506,108,31,"1kWh Capacity
GOOOW Output"
11,p,732,1506,108,31,"1kWh Capacity
6O0OW Output"
12,p,1139,1544,144,15,From USD $100/day
13,p,121,1546,144,15,From USD $100/day
14,p,732,1546,144,15,From USD $100/day
15,p,80,1785,168,24,Accessories
16,h1,731,2076,172,91,"LEX 24
120v/208v
Viceroy Power
Rack"
17,h2,428,2081,135,67,"Nanlite
Parabolic
Softbox GO"
18,p,1039,2169,190,33,"> Channel Rubber Cable
Protectors"
19,p,428,2170,123,32,"White
60cm diameter"
20,p,119,2171,123,36,"1kWh Capacity
GOOOW Output"
21,p,731,2188,169,14,"26""L x24 ""W x 30'H"
22,p,731,2212,159,18,From USD $1i30/day
23,p,1039,2212,148,18,From USD $10/day
24,p,81,2457,135,24,industries
25,p,1229,2692,137,192,"Construc
Oo:

Essential for cor
sites, powering

lighting, commu
devices, and ten
offices, ensuring
work without gr"
26,p,53,2715,56,58,"(a
wy"
27,p,936,2715,105,24,Remote
28,p,693,2745,91,24,Events
29,p,935,2748,114,25,Off-Grid
30,p,936,2783,132,24,|_ocations
31,p,260,2790,148,24,Production
32,p,628,2791,211,93,"Power sound, lighting, food
vendor equipment, and
ticketing stations at
outdoor events without
gricl access."
33,p,934,2829,206,55,"Enjoy being removed from
the city without losing the
civilization's perks."
34,p,120,2836,404,74,"Power cameras, lights, monitors, and equipment,
enabling shooting in remote locations without
traditional power and their downturns: noise, fumes
and long power cables."
35,button,628,2924,205,46,"Rent or Customize Bundle
Advantages"
36,button,933,2924,205,46,"Rent or Customize Bundle
Advantages"
37,button,1239,2924,127,46,"Rent or Customi
Advantages"
38,button,119,2950,205,20,Rent or Customize Bundle
39,p,80,3078,165,29,Advantages
40,p,833,3247,85,29,Ready
41,p,863,3281,96,58,"project
less th;"
42,p,528,3315,110,29,Support
43,h2,527,3361,210,52,"Humble provides backup
and assistance around the
look."
44,p,831,3361,414,54,"Do you need power, and clo you need it now? Humble
will deliver all the energy your project needs in under
2 hours, in the LA area."
45,p,1037,3571,102,24,indoors
46,p,1036,3605,129,24,Outdoors
47,p,185,3628,138,29,disturbing
48,p,596,3628,110,29,Delivery
49,p,1035,3651,214,93,"Our solutions are suited for
both the rugged outdoors
and the sensitive incloor
areas, without disturbing
any of these."
50,p,121,3662,130,29,operation
51,p,557,3662,110,29,PICK-Up
52,p,120,3708,304,36,"Keep power during early mornings and
late nights"
53,p,527,3708,416,36,"One less problem for you to worry about: Humble is a
solution delivered at your cloorstep."
54,p,80,3870,171,24,Testimonials
55,p,423,4041,264,72,"Lorem ipsum pyselig pl
Vad apobel, an hi
Stenoméahans gigan"
56,p,669,4041,126,43,"pulverbrev
heteross r"
57,p,778,4041,95,67,"Vv sedan
renomi.
och ster"
58,p,524,4152,318,35,"Alex Kohberger
Chief Lighting Technician at A24 Studios"
59,container,643,4295,81,81,
60,p,80,4461,103,24,Trusted
61,p,670,5083,93,22,support
62,p,251,5122,226,37,VWnherever
63,h1,387,5122,846,263,">ver, whenever our batteries are
we are too."
64,p,497,5122,228,37,vhenever
65,p,737,5130,75,29,Our
66,p,1043,5130,74,29,are
67,p,725,5173,85,34,COO.
68,p,557,5178,69,29,Ve
69,p,639,5178,74,29,are
70,h2,551,5301,265,52,Get a call from us now
71,p,82,5488,109,24,Contact
72,p,690,5560,222,12,Get an answer in less than 30 minutes
73,p,382,5604,137,15,+1 (601) 207-0592
74,p,386,5655,178,45,"1234 Oak Street
Santa Monica, CA 90404
United States."
75,p,691,5671,193,15,In-Person visits pon booking only
76,p,695,5896,100,23,Company
77,p,1101,5950,154,13,Terms and Conditions
78,p,1102,6014,161,16,Return & Refund Policy
